"Feature","Gain","Cover","Frequency"
"QB_o_rec_1",0.109008528033148,0.033339390727502,0.0386467591387453
"QB_dir_rec_1",0.0381347884997469,0.0187050523962353,0.0230932282176193
"pass_dist_rec_1",0.0311440214706313,0.0174359071117894,0.0105704510802871
"y_rec_1",0.0217244107144141,0.0105250257486311,0.0118534082034882
"o_rec_1",0.0208544680817521,0.0143985809474403,0.0177568703283627
"s_rec_1",0.0192052086018743,0.0178573685219803,0.0108772451749656
"y_rec_4",0.0182603668396578,0.0110143473095431,0.0096128816332602
"pass_dist_rec_2",0.0175667403293914,0.0190078416016398,0.0103473281023391
"s_rec_2",0.0160470889395566,0.0153930672287811,0.0116488788070358
"o_rec_2",0.0155425467794113,0.0119382336658323,0.0156000148748652
"y_rec_2",0.0154112237865781,0.00997433338774778,0.0110352906176788
"dist_to_targeted_Def1_rec_2",0.0153267888923855,0.0169897677334684,0.0112212264326355
"dist_to_targeted_Def1_rec_1",0.0141709460802095,0.0133766930468591,0.0101799858688781
"y_rec_5",0.0139285695722098,0.00833379337537084,0.00790227213565877
"y_rec_3",0.0138673141814601,0.00846492575765946,0.00978022386672121
"dist_to_targeted_Def1_rec_3",0.0130984202005721,0.0173429394863148,0.0109237291287048
"o_rec_4",0.0124085282456645,0.0166902034638432,0.0122438734148972
"t",0.0118266521372139,0.00874608701426923,0.00727009036480607
"pass_dist_rec_3",0.0118229112822453,0.0105076624975619,0.00930608753858168
"o_rec_3",0.0117832751389827,0.0117966240611497,0.0122624669963928
"QB_y_rec_1",0.0116626857259404,0.00955850937525552,0.00907366776988584
"pass_y_rec_1",0.0107554944260188,0.0114746777963935,0.00934327470157302
"o_rec_5",0.0106879973202705,0.0122948913805791,0.0101892826596259
"s_rec_3",0.0097525937106264,0.011761417288226,0.00983600461120821
"s_rec_5",0.00927541696288591,0.0111425160218967,0.0095849912610167
"dist_to_targeted_Def1_rec_4",0.0090527531353596,0.0112339383090938,0.0102636569856086
"y_Def1_rec_4",0.00904258580927541,0.00573136966957727,0.00749321334275408
"dir_rec_1",0.00889886767298703,0.0122778247813341,0.0109330259194526
"s_Def1_rec_3",0.00865132279892159,0.00809098872946922,0.0072514967833104
"dist_to_targeted_Def2_rec_2",0.00863631837472733,0.00845849901978292,0.00897140307165966
"s_Def1_rec_4",0.00844705408570193,0.0110008626113745,0.00790227213565877
"dir_rec_5",0.0083975220754181,0.00781670446753449,0.00759547804098025
"y_Def1_rec_5",0.00827471228947745,0.00548869683579054,0.00596853966010933
"dist_to_targeted_Def3_rec_4",0.00816515376034894,0.0106018547090874,0.00925030679409468
"s_rec_4",0.00806850637864139,0.00918122344576716,0.00938975865531219
"dir_rec_4",0.00789532157705306,0.0107714396544055,0.00810680153211112
"s_Def1_rec_5",0.0078948351116762,0.00900525083113713,0.00850656353426797
"y_Def1_rec_2",0.00784412802228883,0.00733146949234541,0.00812539511360678
"dist_to_targeted_Def2_rec_1",0.00784104884474397,0.00743448384585048,0.00882265441969432
"dist_to_targeted_Def2_rec_3",0.00778131081160803,0.00788950483570561,0.00866460897698115
"dist_to_targeted_Def3_rec_3",0.00777922163931841,0.00921946414523842,0.00914804209586851
"y_Def2_rec_5",0.00774666771129822,0.00738084341643708,0.00748391655200625
"dir_rec_3",0.00773799322987265,0.00975922697651034,0.00845078278978097
"dist_to_targeted_Def1_rec_5",0.0076579183298534,0.00928220807062679,0.0096965527499907
"y_Def1_rec_3",0.00749614206473511,0.00678559493827838,0.00806961436911978
"pass_dist_rec_4",0.00742239407355033,0.00747000576528271,0.00826484697482429
"s_Def1_rec_2",0.00725244066296781,0.00838447296623071,0.00776282027444126
"y_Def2_rec_4",0.007115679741954,0.00799700356344136,0.00819976943958945
"dist_to_targeted_Def3_rec_2",0.00681806492032331,0.00819966938104139,0.00801383362463278
"pass_dist_rec_5",0.00658551349251187,0.00684981990273862,0.0078836785541631
"dist_to_targeted_Def3_rec_5",0.0064652349469456,0.00771826339022785,0.0084321892082853
"y_Def3_rec_5",0.00627281463975635,0.00968552133000031,0.00815328548585029
"y_Def1_rec_1",0.00620687972859353,0.00731330810760201,0.00762336841322375
"s_Def2_rec_3",0.00617533582313157,0.00739844733944551,0.00758618125023242
